gameId,playId,playDesc
58841,2804,"(2:36) 5-T.Lance pass incomplete short right. Penalty on SF-64-J.Brendel, Ineligible Downfield Pass, declined."
58841,2966,"(:12) (Shotgun) 1-J.Fields scrambles right end pushed ob at CHI 44 for 5 yards (57-D.Greenlaw). PENALTY on SF-7-C.Ward, Defensive Holding, 5 yards, enforced at CHI 44."
58841,3064,"(13:37) (Shotgun) 1-J.Fields right end to SF 41 for 1 yard (51-A.Al-Shaair). SF-51-A.Al-Shaair was injured during the play.  PENALTY on SF-51-A.Al-Shaair, Unnecessary Roughness, 15 yards, enforced at SF 41."
58841,3281,"(12:40) (Shotgun) 5-T.Lance pass incomplete short left to 15-J.Jennings. PENALTY on SF-74-S.Burford, False Start, 5 yards, enforced at SF 25 - No Play."
58841,3470,"(8:22) (Shotgun) 24-K.Herbert left guard to SF 7 for 5 yards (97-N.Bosa). PENALTY on SF-99-J.Kinlaw, Defensive Holding, 4 yards, enforced at SF 7."
58841,3561,"2-C.Santos kicks 66 yards from CHI 35 to SF -1. 3-R.McCloud to SF 26 for 27 yards (24-K.Herbert). PENALTY on SF-24-J.Mason, Offensive Holding, 10 yards, enforced at SF 20."
58841,3760,"(4:57) (No Huddle, Shotgun) PENALTY on SF-71-T.Williams, False Start, 5 yards, enforced at SF 33 - No Play."
58841,4040,"(2:37) (Shotgun) Penalty on CHI, Delay of Game, declined."
58842,588,"(5:47) PENALTY on CIN-88-H.Hurst, False Start, 5 yards, enforced at CIN 35 - No Play."
58842,653,"(4:30) (Shotgun) 9-J.Burrow pass short left intended for 85-T.Higgins INTERCEPTED by 20-C.Sutton at CIN 45. 20-C.Sutton to CIN 44 for 1 yard (85-T.Higgins). PENALTY on PIT-20-C.Sutton, Defensive Pass Interference, 3 yards, enforced at CIN 40 - No Play."
58842,1195,"(9:35) (Shotgun) 10-M.Trubisky pass incomplete short right to 14-G.Pickens. PENALTY on CIN-22-C.Awuzie, Defensive Pass Interference, 2 yards, enforced at CIN 3 - No Play."
58842,1429,"(5:33) (Shotgun) 9-J.Burrow pass deep middle intended for 83-T.Boyd INTERCEPTED by 20-C.Sutton at PIT 15. 20-C.Sutton pushed ob at PIT 26 for 11 yards (1-J.Chase). PENALTY on PIT-39-M.Fitzpatrick, Unnecessary Roughness, 7 yards, enforced at PIT 15."
58842,1721,"(:27) (Shotgun) PENALTY on CIN-67-C.Volson, False Start, 5 yards, enforced at PIT 3 - No Play."
58842,2532,"(1:19) (Shotgun) 10-M.Trubisky scrambles left end ran ob at PIT 46 for 6 yards (22-C.Awuzie). PENALTY on PIT-65-D.Moore, Offensive Holding, 10 yards, enforced at PIT 40 - No Play."
58842,2976,"(9:38) (Shotgun) 9-J.Burrow pass deep middle to 83-T.Boyd to PIT 40 for 22 yards (34-T.Edmunds). Penalty on PIT-56-A.Highsmith, Defensive Offside, declined."
58842,3198,"(6:13) 6-P.Harvin punts 60 yards to end zone, Center-46-C.Kuntz, Touchback. PENALTY on PIT-46-C.Kuntz, Offensive Holding, 10 yards, enforced at CIN 20."
58842,3324,"(3:48) (Shotgun) 9-J.Burrow sacked at PIT 40 for -10 yards (90-T.Watt). PENALTY on PIT-20-C.Sutton, Defensive Holding, 6 yards, enforced at PIT 30 - No Play."
58842,3568,"(1:56) (Shotgun) 9-J.Burrow pass incomplete short left to 1-J.Chase (20-C.Sutton). PENALTY on CIN-1-J.Chase, Taunting, 15 yards, enforced between downs."
58842,3912,"(:22) (Shotgun) 9-J.Burrow pass incomplete short right to 28-J.Mixon [90-T.Watt]. PIT-90-T.Watt was injured during the play.  PENALTY on PIT-90-T.Watt, Illegal Use of Hands, 5 yards, enforced at PIT 17 - No Play."
58842,3972,"(:13) (Shotgun) 9-J.Burrow pass incomplete short middle to 83-T.Boyd. PENALTY on PIT-39-M.Fitzpatrick, Unnecessary Roughness, 6 yards, enforced at PIT 12 - No Play."
58842,4246,"(8:21) (Shotgun) 9-J.Burrow pass incomplete deep right to 80-Mi.Thomas. PENALTY on PIT-25-A.Witherspoon, Defensive Pass Interference, 12 yards, enforced at CIN 25 - No Play."
58842,5039,"(:34) (No Huddle, Shotgun) 10-M.Trubisky pass deep middle to 88-P.Freiermuth to CIN 45 for 26 yards (21-M.Hilton). Penalty on CIN-94-S.Hubbard, Defensive Offside, declined."
58843,171,"(12:19) (Shotgun) PENALTY on DET-71-L.Stenberg, False Start, 5 yards, enforced at PHI 15 - No Play."
58843,194,"(12:19) (Shotgun) PENALTY on DET-71-L.Stenberg, False Start, 5 yards, enforced at PHI 20 - No Play."
58843,439,"(8:42) (Shotgun) PENALTY on PHI-88-D.Goedert, False Start, 5 yards, enforced at PHI 44 - No Play."
58843,666,"(5:51) (Shotgun) PENALTY on PHI-16-Q.Watkins, False Start, 5 yards, enforced at PHI 18 - No Play."
58843,737,"(4:43) (No Huddle, Shotgun) 1-J.Hurts pass short right to 6-D.Smith ran ob at DET 48 for 11 yards (1-J.Okudah). PENALTY on PHI-68-J.Mailata, Offensive Holding, 10 yards, enforced at PHI 41 - No Play."
58843,1250,"(10:17) PENALTY on PHI, Offensive Too Many Men on Field, 5 yards, enforced at PHI 49 - No Play."
58843,1579,"(7:52) (Shotgun) PENALTY on PHI, Delay of Game, 5 yards, enforced at DET 6 - No Play."
58843,1602,"(7:52) (Shotgun) 26-M.Sanders left end to DET 10 for 1 yard (49-C.Board, 5-D.Elliott). PENALTY on DET, Defensive Too Many Men on Field, 5 yards, enforced at DET 11 - No Play."
